cve_id,cwe_ids,github_repo,cur_commit,pre_commit,project_type
CVE-2005-10002,CWE-22,wp-plugins/secure-files,cab025e5fc2bcdad8032d833ebc38e6bd2a13c92,b1afc063fd49cfb875e1c6f591543ebff6649469,Framework Plugin
CVE-2006-10001,CWE-79,wp-plugins/subscribe-to-comments,9683bdf462fcac2f32b33be98f0b96497fbd1bb6,de59be732c6c7976dc293c20a8c7648782249bd2,Framework Plugin
CVE-2007-10001,CWE-89,web-cyradm/web-cyradm,3e8f0717f133907bb6a09cb674b05c5f273da3e1,610d7bccb071ebe0ff8468cd3a211dcf86bb7973,Web App
CVE-2007-10002,CWE-89,web-cyradm/web-cyradm,2bcbead3bdb5f118bf2c38c541eaa73c29dcc90f,3e8f0717f133907bb6a09cb674b05c5f273da3e1,Web App
CVE-2007-10003,CWE-89,wp-plugins/the-hackers-diet,7dd8acf7cd8442609840037121074425d363b694,bd2a3532505358e7346839ab064e551a36a6d9d8,Framework Plugin
CVE-2008-10003,CWE-89,iGamingModules/flashgames,6e57683704885be32eea2ea614f80c9bb8f012c5,a4ae2e836e0f0d8f9ca871228cf5403c505be473,Web App
CVE-2009-10001,CWE-79,jianlinwei/cool-php-captcha,c84fb6b153bebaf228feee0cbf50728d27ae3f80,c4e85084ac5ad755310bfbe1e20d8f17e014736c,Library
CVE-2009-10004,CWE-79,Turante/sandbox-theme,8045b1e10970342f558b2c5f360e0bd135af2b10,57367168ce441bbcb75688e924742f03ffc7c679,Framework Theme
CVE-2010-10002,CWE-79,simplesamlphp/simplesamlphp-module-openid,d652d41ccaf8c45d5707e741c0c5d82a2365a9a3,1b9ea153c6d005ba214fca5f573235702af0c8ed,Framework Plugin
CVE-2010-10003,CWE-89,gesellix/titlelink,b4604e523853965fa981a4e79aef4b554a535db0,34518c00579211348f7372a3b5a12d9a4b159b95,Framework Plugin
CVE-2010-10004,CWE-79,simplesamlphp/simplesamlphp-module-infocard,f6bfea49ae16dc6e179df8306d39c3694f1ef186,429c8d791836b49264349615453b8f71b6573726,Framework Plugin
CVE-2010-10007,CWE-89,lierdakil/click-reminder,41213b660e8eb01b22c8074f06208f59a73ca8dc,293192351cf4fc9fd3d0af2caff8434a5cbecec4,Web App
CVE-2010-10008,CWE-79,simplesamlphp/simplesamlphp-module-openidprovider,8365d48c863cf06ccf1465cc0a161cefae29d69d,d4bbc9c3f6031ab7525fdea7278c5fb6c859cabc,Framework Plugin
CVE-2010-10010,CWE-79,StarsAlliance/PsychoStats,5d3b7311fd5085ec6ea1b1bfa9a05285964e07e4,fa17054b742815a6f80f791b02b0256aec8fbe6c,Web App
CVE-2011-10002,CWE-89,rotelok/weblabyrinth,60793fd8c8c4759596d3510641e96ea40e7f60e9,bc89921af4201898ffb922d3e508e444e42012cf,Web App
CVE-2011-10004,CWE-434,wp-plugins/reciply,e3ff616dc08d3aadff9253f1085e13f677d0c676,daa1bdba5160bcbaf79486d57b14cfd8e364b74a,Framework Plugin
CVE-2012-10002,CWE-79,ahmyi/rivettracker,45a0f33876d58cb7e4a0f17da149e58fc893b858,54e8160cc38360da65234744d771ec4c4b9a029b,Web App
CVE-2012-10003,CWE-79,ahmyi/rivettracker,f053c5cc2bc44269b0496b5f275e349928a92ef9,4446795db3efc8eb54729ba9a3fc7337a8292213,Web App
CVE-2012-10004,CWE-79,backdrop-contrib/basic_cart,a10424ccd4b3b4b433cf33b73c1ad608b11890b4,9d90ca0dcd1d2820618abe2b238bd439bd1e92ad,Framework Plugin
CVE-2012-10005,CWE-79,manikandan170890/php-form-builder-class,74897993818d826595fd5857038e6703456a594a,7e818a429252ecd55129a996295475c787b729c4,Library
CVE-2012-10007,CWE-79,madgicweb/buddystream,7d5b9a89a27711aad76fd55ab4cc4185b545a1d0,4416a4ad2dc315472e53bfec06d85a0450264f13,Framework Plugin
CVE-2012-10009,CWE-89,wp-plugins/404like,2c4b589d27554910ab1fd104ddbec9331b540f7f,dd307de59fc7aff1741f9ba3b7929c3c8c830955,Framework Plugin
CVE-2012-10010,CWE-352,wp-plugins/contact-form-plugin,8398d96ff0fe45ec9267d7259961c2ef89ed8005,3ad1628d3b44ff90b6b2d9235fd29c7939ab515d,Framework Plugin
CVE-2012-10011,CWE-89,wp-plugins/contus-hd-flv-player,34d66b9f3231a0e2dc0e536a6fe615d736e863f7,7d3b06a40050bb0d340094f3fe3cef93c64645e7,Framework Plugin
CVE-2012-10012,CWE-352,wp-plugins/facebook-button-plugin,33144ae5a45ed07efe7fceca901d91365fdbf7cb,dfd6caa2ea79965dae3c725726d75d9d5892b51c,Framework Plugin
CVE-2012-10013,CWE-79,wp-plugins/kau-boys-backend-localization,43dc96defd7944da12ff116476a6890acd7dd24b,d7e99085981fea1061b936c9940f6f85165ed256,Framework Plugin
CVE-2012-10014,CWE-79,wp-plugins/kau-boys-backend-localization,36f457ee16dd114e510fd91a3ea9fbb3c1f87184,43dc96defd7944da12ff116476a6890acd7dd24b,Framework Plugin
CVE-2012-10015,CWE-352,wp-plugins/twitter-plugin,a6d4659cbb2cbf18ccb0fb43549d5113d74e0146,e9bcc9c77b2b303e2623fc559d43cd4ccbc4ae99,Framework Plugin
CVE-2012-10016,CWE-200,wp-plugins/simple-download-button-shortcode,e648a8706818297cf02a665ae0bae1c069dea5f1,3cc5766b384a41908a4a0a595a8ebc1fa829367d,Framework Plugin
CVE-2012-10017,CWE-352,wp-plugins/portfolio,68af950330c3202a706f0ae9bbb52ceaa17dda9d,855a1b62abda256924c45e099eb3a9af360b516d,Framework Plugin
CVE-2013-10007,CWE-200,ethitter/WP-Print-Friendly,437787292670c20b4abe20160ebbe8428187f2b4,c3709561e9878c51abb6a1abc1e86bb76a66a244,Framework Plugin
CVE-2013-10015,CWE-89,fanzila/WebFinance,abad81af614a9ceef3f29ab22ca6bae517619e06,6b0a8033a68e3239e25877a7434c3dcec22d92f4,Web App
CVE-2013-10016,CWE-89,fanzila/WebFinance,306f170ca2a8203ae3d8f51fb219ba9e05b945e1,6cfeb2f6b35c1b3a7320add07cd0493e4f752af3,Web App
CVE-2013-10017,CWE-89,fanzila/WebFinance,6cfeb2f6b35c1b3a7320add07cd0493e4f752af3,7e86e1c29555ac0b5bea3a64901be90fca225b3a,Web App
CVE-2013-10018,CWE-89,fanzila/WebFinance,165dfcaa0520ee0179b7c1282efb84f5a03df114,bfccab378a6608d216df2835840da243fa63cfe2,Web App
CVE-2013-10020,CWE-79,wp-plugins/a-forms,3e693197bd69b7173cc16d8d2e0a7d501a2a0b06,f2c1d6632ff87234022320a25295b6e000e4a252,Framework Plugin
CVE-2013-10021,CWE-79,dd32/debug-bar,0842af8f8a556bc3e39b9ef758173b0a8a9ccbfc,d2559791349a591258ef332253475f5060256153,Framework Plugin
CVE-2013-10022,CWE-79,wp-plugins/contact-form-plugin,642ef1dc1751ab6642ce981fe126325bb574f898,61afa7b71b39e513640a8cc1394f04dbadaed4c8,Framework Plugin
CVE-2013-10023,CWE-89,wp-plugins/editorial-calendar,a9277f13781187daee760b4dfd052b1b68e101cc,1efa425c52472b0d38381b8f1b4a7b441996e9a2,Framework Plugin
CVE-2013-10024,CWE-200,wp-plugins/exit-strategy,d964b8e961b2634158719f3328f16eda16ce93ac,f9659db99f40c0316288a417db7e7e7495256186,Framework Plugin
CVE-2013-10025,CWE-352,wp-plugins/exit-strategy,d964b8e961b2634158719f3328f16eda16ce93ac,f9659db99f40c0316288a417db7e7e7495256186,Framework Plugin
CVE-2013-10026,CWE-79,wp-plugins/mail-subscribe-list,484970ef8285cae51d2de3bd4e4684d33c956c28,12436a1da36fbf078ca58f18239780d598e58de2,Framework Plugin
CVE-2013-10027,CWE-352,wp-plugins/blogger-importer,b83fa4f862b0f19a54cfee76060ec9c2e7f7ca70,e744991b99f36903fdea8f0ed637163e79552c0d,Framework Plugin
CVE-2013-10028,CWE-79,wp-plugins/eelv-newsletter,3339b42316c5edf73e56eb209b6a3bb3e868d6ed,24ade504661ad0709af1db9cc468b6edd5ae485c,Framework Plugin
CVE-2013-10029,CWE-352,wp-plugins/wordpress-exit-box-lite,fad26701addb862c51baf85c6e3cc136aa79c309,7c9c72510d9d7cc2fd5eac03b895fc0125360874,Framework Plugin
CVE-2013-10030,CWE-200,wp-plugins/wordpress-exit-box-lite,fad26701addb862c51baf85c6e3cc136aa79c309,7c9c72510d9d7cc2fd5eac03b895fc0125360874,Framework Plugin
CVE-2013-2653,CWE-598,chillu/silverstripe-framework,3e88c98ca513880e2b43ed7f27ade17fef5d9170,14c59be85e9ec53cb2f0b3e9d0d8ce7569d913c6,Framework
CVE-2013-6789,CWE-598,chillu/silverstripe-framework,3e88c98ca513880e2b43ed7f27ade17fef5d9170,14c59be85e9ec53cb2f0b3e9d0d8ce7569d913c6,Framework
CVE-2014-125027,CWE-79,yunasc/tbdev,0ba3fd4be29dd48fa4455c236a9403b3149a4fd4,0399b5703a198fa3756726bf059cd0b976535813,Web App
CVE-2014-125029,CWE-89,ttskch/PaginationServiceProvider,619de478efce17ece1a3b913ab16e40651e1ea7b,f1616a57f4c8f3bf95e2affed8988acefe85e935,Framework Plugin
CVE-2014-125031,CWE-79,kirill2485/TekNet,1c575340539f983333aa43fc58ecd76eb53e1816,6f7b74593851920ba13946ff1101d94f4dbc6ac7,Web App
CVE-2014-125032,CWE-89,porpeeranut/go-with-me,b92451e4f9e85e26cf493c95ea0a69e354c35df9,d91c648f4d7da7f355af7c2bbf809dbfdc1cb786,Web App
CVE-2014-125034,CWE-79,stiiv/contact_app,67bec33f559da9d41a1b45eb9e992bd8683a7f8c,f9e5169aad52bd1d681abc74428786140dca7efe,Web App
CVE-2014-125040,CWE-89,stevejagodzinski/DevNewsAggregator,b9de907e7a8c9ca9d75295da675e58c5bf06b172,49ac5b49d34aa104c288474b236284cd1876d39e,Web App
CVE-2014-125044,CWE-73,soshtolsus/wing-tight,567bc33e6ed82b0d0179c9add707ac2b257aeaf2,7cee6e453a1b47d2c20e1ab5caff6430fda057f0,Web App
CVE-2014-125045,CWE-89,Miesvanderlippe/meol1,82441e413f87920d1e8f866e8ef9d7f353a7c583,73e4c81b6bea332a5d4ce5880af4033ea09e62b2,Web App
CVE-2014-125051,CWE-89,himiklab/yii2-jqgrid-widget,a117e0f2df729e3ff726968794d9a5ac40e660b9,55460df283454951c257411d563b2b8118d6b299,Framework Plugin
CVE-2014-125053,CWE-89,Piwigo/Piwigo-Guest-Book,0cdd1c388edf15089c3a7541cefe7756e560581d,2dfd046c7e35261fe272d4abacba62c195edee4a,Framework Plugin
CVE-2014-125057,CWE-697,mrobit/robitailletheknot,6b2813696ccb88d0576dfb305122ee880eb36197,72e8ac5dd67e0ba27144b35b72ee4fb240e5bdcc,Web App
CVE-2014-125062,CWE-89,ananich/bitstorm,ea8da92f94cdb78ee7831e1f7af6258473ab396a,f0a662662c3e1dd1a8f158e12233a7af81c62dbd,Web App
CVE-2014-125076,CWE-89,NoxxieNl/Criminals,0a60b31271d4cbf8babe4be993d2a3a1617f0897,0feeea4700dbe2938a5a8b93ce0df50bddec3f84,Web App
CVE-2014-125077,CWE-89,pointhi/searx_stats,281bd679a4474ddb222d16c1c380f252839cc18f,49f1598e4e5bb90ea4ccc1e430112d5d4c2f6ec4,Web App
CVE-2014-125084,CWE-89,gimmie/vbulletin-v4,7194a09353dd24a274678383a4418f2fd3fce6f7,f11a136e9cbd24997354965178728dc22a2aa2ed,Framework Plugin
CVE-2014-125085,CWE-89,gimmie/vbulletin-v4,f11a136e9cbd24997354965178728dc22a2aa2ed,fe851002d20a8d6196a5abb68bafec4102964d5b,Framework Plugin
CVE-2014-125086,CWE-89,gimmie/vbulletin-v4,fe851002d20a8d6196a5abb68bafec4102964d5b,fb4b9c9e25cc70ab432ecd7968dd180dcca0283c,Framework Plugin
CVE-2014-125090,CWE-79,wp-plugins/media-downloader,77beb720c682b9300035ab5f96eee225181d8a92,867e314c099c7bf980b2afc1623824df9634e360,Framework Plugin
CVE-2014-125091,CWE-89,wp-plugins/cp-polls,6d7168cbf12d1c183bacc5cd5678f6f5b0d518d2,900688ac6d064de823a8599a27ae9abdaf188ba5,Framework Plugin
CVE-2014-125092,CWE-79,wp-plugins/maxbuttons,e74564c9e3b7429808e317f4916bd1c26ef0b806,ba6cfcccec919040040e95ade146c80051f919b2,Framework Plugin
CVE-2014-125093,CWE-200,wp-plugins/ad-blocking-detector,3312b9cd79e5710d1e282fc9216a4e5ab31b3d94,5d210d34b88291c09cf1f43ee297db8b708d276e,Framework Plugin
CVE-2014-125095,CWE-79,wp-plugins/contact-form-plugin,4d531f74b4a801c805dc80360d4ea1312e9a278f,d1fc8116e02a6bd45a5c53f34b18c2054c132da7,Framework Plugin
CVE-2014-125096,CWE-79,wp-plugins/fancy-gallery,fdf1f9e5a1ec738900f962e69c6fa4ec6055ed8d,4cdd349eb7e827bb63b0f2aea93ef7076445a600,Framework Plugin
CVE-2014-125097,CWE-79,wp-plugins/facebook-button-plugin,b766da8fa100779409a953f0e46c2a2448cbe99c,8500a45c65b60c5700718d505bdea23d2600a116,Framework Plugin
CVE-2014-125099,CWE-89,wp-plugins/i-recommend-this,058b3ef5c7577bf557557904a53ecc8599b13649,ee1bcbb605782c91db7bc8de421c3fe7540b2e51,Framework Plugin
CVE-2014-125100,CWE-79,wp-plugins/job-board,dbb71deee071422ce3e663fbcdce3ad24886f940,ff8d991dc86b07c00040f30c03ed91bd9f7e6d48,Framework Plugin
CVE-2014-125101,CWE-89,wp-plugins/portfolio-gallery,58ed88243e17df766036f4857041edaf358076d3,79fc762eae926e90690cbf60cf2b76afe26fbcc2,Framework Plugin
CVE-2014-125102,CWE-200,wp-plugins/relevant,860d1891025548cf0f5f97364c1f51a888f523c3,8115070f2ffc3da75aedf7f728d274ce4803b981,Framework Plugin
CVE-2014-125103,CWE-79,wp-plugins/twitter-plugin,e04d59ab578316ffeb204cf32dc71c0d0e1ff77c,168293b8e2eb4631beff7f2d5e4c4bb3385e1ac9,Framework Plugin
