CVE ID,CWE Type,Current Commit,Previous Commit
CVE-2021-4310,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/01-Scripts/01-Artikelsystem,ae849b347a58c2cb1be38d04bbe56fc883d5d84a,c081ea8c4d5a716402a545b7e86041cee0f9c406
CVE-2021-4283,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/FreePBX/voicemail,ffce4882016076acd16fe0f676246905aa3cb2f3,2cff6598cfe7bdecf4c081f2e214f0190758911a
CVE-2021-4251,CWE-707: Improper Neutralization,https://github.com/andrewsauder/as,4acad1e3d2c34c017473ceea442fb3e3e078b2bd,7996f44c9da08a39dad1e31ca3b987073c72f157
CVE-2021-4252,CWE-707: Improper Neutralization,https://github.com/lesterchan/wp-ban,13e0b1e922f3aaa3f8fcb1dd6d50200dd693fd76,048e3b9081b36506821746689b42faf5876730a5
CVE-2021-4262,CWE-707: Improper Neutralization,https://github.com/mgallegos/laravel-jqgrid,fbc2d94f43d0dc772767a5bdb2681133036f935e,cec56df4f39a36e29880d56acc10f4e709198476
CVE-2021-4313,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/NethServer/nethserver-phonehome,759c30b0ddd7d493836bbdf695cf71624b377391,ef5af2c18e482a71501b7d9dfb6fabb9f18585bf
CVE-2021-4431,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/msyk/FMDataAPI,3bd1709a8f7b1720529bf5dfc9855ad609f436cf,0965e5c816b7fb8bc5dea01a79d2844d7699cb93
CVE-2021-4303,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/shannah/xataface,94143a4299e386f33bf582139cd4702571d93bde,dfa9534258e78235583c73e1cf2f89d38e4e7869
CVE-2021-4301,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/slackero/phpwcms,77dafb6a8cc1015f0777daeb5792f43beef77a9d,0d27adc81da4c2161261240c1a947b5872be61d0
CVE-2021-4241,CWE-331: Insufficient Entropy,https://github.com/phpservermon/phpservermon,bb10a5f3c68527c58073258cb12446782d223bc3,32fcb8b0e80c5ab13f2ac131bf3e731ead7dea02
CVE-2021-4259,CWE-597: Use of Wrong Operator in String Comparison,https://github.com/erikdubbelboer/phpRedisAdmin,31aa7661e6db6f4dffbf9a635817832a0a11c7d9,59c90d7182dcb7e61390fc0ae5f8f72551a23280
CVE-2021-4302,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/slackero/phpwcms,b39db9c7ad3800f319195ff0e26a0981395b1c54,4db6ac2ead2ee1494336ddb35544b2a83ec5e788
CVE-2021-4282,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/FreePBX/voicemail,12e1469ef9208eda9d8955206e78345949236ee6,2cff6598cfe7bdecf4c081f2e214f0190758911a
CVE-2021-4097,CWE-93: Improper Neutralization of CRLF Sequences ('CRLF Injection'),https://github.com/phpservermon/phpservermon,162bba0046fcda1580f4fbc7b9ababe3c7c13ce4,b81f173a05727a5c5b82acb94be8dcd6afa87c8c
CVE-2021-4261,CWE-707: Improper Neutralization,https://github.com/platzhersh/pacman-canvas,29522c90ca1cebfce6453a5af5a45281d99b0646,9e5fbfc7bfd79d94f0e3a1fd7e65e8e656f49f8a
CVE-2021-4240,CWE-331: Insufficient Entropy,https://github.com/phpservermon/phpservermon,3daa804d5f56c55b3ae13bfac368bb84ec632193,bb10a5f3c68527c58073258cb12446782d223bc3
CVE-2021-4312,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/Th3-822/rapidleech,885a87ea4ee5e14fa95801eca255604fb2e138c6,e771690542fd648ae85efa35e0dd034a7d9fae0f
CVE-2021-4271,CWE-707: Improper Neutralization,https://github.com/panicsteve/w2wiki,8f1d0470b4ddb1c7699e3308e765c11ed29542b6,232996527d0d2160f6305de4780ad81272608fb7
CVE-2021-4293,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/gnuboard/youngcart5,70daa537adfa47b87af12d85f1e698fff01785ff,607a8b613e40c38d536a66ffff13bad548feb089
CVE-2021-4268,CWE-863: Incorrect Authorization,https://github.com/erikdubbelboer/phpRedisAdmin,b9039adbb264c81333328faa9575ecf8e0d2be94,51c5425d3bf6e96b4820fb23e3a50a26f0d78290
CVE-2021-4336,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/ITRS-Group/monitor-ninja,6da9080faec9bca1ca5342386c0421dca0a6c0cc,985d206dfb78e872984a4f7568fe8e42bf832dd0
CVE-2021-3838,CWE-502: Deserialization of Untrusted Data,https://github.com/dompdf/dompdf,99aeec1efec9213e87098d42eb09439e7ee0bb6a,5abe32818761832d159c68fce5d43ff7510d8c91
CVE-2021-3603,CWE-829: Inclusion of Functionality from Untrusted Control Sphere,https://github.com/PHPMailer/PHPMailer,45f3c18dc6a2de1cb1bf49b9b249a9ee36a5f7f3,6334bab2affb132b1445825a0f1f82f7869b981e
CVE-2021-3850,CWE-305: Authentication Bypass by Primary Weakness,https://github.com/adodb/adodb,952de6c4273d9b1e91c2b838044f8c2111150c29,66fb9e5300c2b3b84beab1d9d7793ff961c171a8
CVE-2021-37704,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,https://github.com/PHPSocialNetwork/phpfastcache,41a77d0d8f126dbd6fbedcd9e6a82e86cdaafa51,36749d4dca550bf01388807608042065d1594a7c
CVE-2021-29454,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),https://github.com/smarty-php/smarty,215d81a9fa3cd63d82fb3ab56ecaf97cf1e7db71,efb416e5ef563f0ec3e0cbbc5a656288760800ab
CVE-2021-29436,CWE-352: Cross-Site Request Forgery (CSRF),https://github.com/anuko/timetracker,e3f8222ee308322942bcebcd86b78ecf19382563,e77be7eea69df5d52e19f9f25b5b89a0e66a5b8e
CVE-2021-29625,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/vrana/adminer,4043092ec2c0de2258d60a99d0c5958637d051a7,60ad16117868103cb053881ecf14303236b6bcbc
CVE-2021-29487,CWE-287: Improper Authentication,https://github.com/octobercms/library,016a297b1bec55d2e53bc889458ed2cb5c3e9374,78146965383ed72426124664a4eff17a3d293efb
CVE-2021-43822,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/jackalope/jackalope-doctrine-dbal,9d179a36d320330ddb303ea3a7c98d3a33d231db,86e7bba3de698377f2985a273331fd1f4a950892
CVE-2021-43808,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/laravel/framework,b8174169b1807f36de1837751599e2828ceddb9b,2d72d1f5553aa4d26e551e49c69e4cfc73f26de5
CVE-2021-43836,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),https://github.com/sulu/sulu,9c948f9ce350c68b53af8c3910e2cefc7f722b54,bb892d77f821fe3b9e441a0a6d977d3c19ef5e80
CVE-2021-43810,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/Admidio/admidio,c043267d362f7813543cc2785119bf3e3e54fe21,d6c5627ac25977f47a532e3723b7e4f16322a917
CVE-2021-43851,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),https://github.com/anuko/timetracker,0cf32f1046418aa2e5218b0b370064820c330c6a,94fda0cc0c9c20ab98d38ccc75ff040d13dc7f1b
CVE-2021-43835,CWE-269: Improper Privilege Management,https://github.com/sulu/sulu,30bf8b5a4f83b6f2171a696011757d095edaa28a,b00369405b3f36379d457c0aedff690a60e19407
CVE-2021-21424,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,https://github.com/symfony/symfony,2a581d22cc621b33d5464ed65c4bc2057f72f011,83093d5448a7b90fd4cbcce38580ae53898f506f
CVE-2021-21258,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/glpi-project/glpi,e7802fc051696de1f76108ea8dc3bd4e2c880f15,df91eab60045ae0d88257b70444fcefdfaf9432d
CVE-2021-21324,CWE-639: Authorization Bypass Through User-Controlled Key,https://github.com/glpi-project/glpi,aade65b7f67d46f23d276a8acb0df70651c3b1dc,b2f67320598849b8266b2f23f2f491ff25772b5a
CVE-2021-21311,CWE-918: Server-Side Request Forgery (SSRF),https://github.com/vrana/adminer,ccd2374b0b12bd547417bf0dacdf153826c83351,1e1c46ac72eec83cbb99f0f1887492cb9d4429eb
CVE-2021-21265,CWE-644: Improper Neutralization of HTTP Headers for Scripting Syntax,https://github.com/octobercms/library,f86fcbcd066d6f8b939e8fe897409d152b11c3c6,b57093b473f597051b5f16be1efe39e5eabd3df4
CVE-2021-21408,CWE-20: Improper Input Validation,https://github.com/smarty-php/smarty,19ae410bf56007a5ef24441cdc6414619cfaf664,baad3115cd8fd001a113b6605c0e6393e823d598
CVE-2021-21352,CWE-330: Use of Insufficiently Random Values,https://github.com/anuko/timetracker,40f3d9345adc20e6f28eb9f59e2489aff87fecf5,85823f48d86f438909af947b57038a1090283030
CVE-2021-21276,CWE-863: Incorrect Authorization,https://github.com/cydrobolt/polr,b1981709908caf6069b4a29dad3b6739c322c675,10be1cbf4057f82bb57755f5d0dd36c9b38e4a56
CVE-2021-22889,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,2f868414,071f227c2b4d5eca2254caec6f6d26686cbc4418
CVE-2021-22874,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,e2a67ce8,1a05c59e28300e4af7eb0d7e5f8322ae1b75cfa0
CVE-2021-22875,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,6f46076a,e2a67ce8ec377b8b3468b3c18132936d22571e09
CVE-2021-22871,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,89b88ce26,2980ccacde17177526b0f976dc508138eec88d87
CVE-2021-22872,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/revive-adserver/revive-adserver,00fdb8d0e,62a2a043989a24d800fc69870ae1566c6724b14c
CVE-2021-24892,CWE-639: Authorization Bypass Through User-Controlled Key,https://github.com/advancedforms/advanced-forms,2ce3ab6985c3a909eefb01c562995bc6a994d3a2,acbc699e158a91d4f4954feecec79cad419c97e1
CVE-2021-25955,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://github.com/Dolibarr/dolibarr,796b2d201acb9938b903fb2afa297db289ecc93e,0d7fccc7b30b00b241f85d5b1e28fdbbf19042e3
CVE-2021-25954,CWE-284: Improper Access Control,https://github.com/Dolibarr/dolibarr,8cc100012d46282799fb19f735a53b7101569377,0271645d8efd5815bbb2d8750c76e8b27ee974be
